Problem ID,Run Number,Initial Best,Evals,Improved Fitness,Missing Staff
aircrafts_instance_8,8,,18461,0,0
aircrafts_instance_8,9,,4897,0,0
aircrafts_instance_8,10,,12132,0,0
aircrafts_instance_9,1,,20762,0,0
aircrafts_instance_9,2,,25153,0,0
aircrafts_instance_9,3,,30825,0,0
aircrafts_instance_9,4,,21730,0,0
aircrafts_instance_9,5,,26717,0,0
aircrafts_instance_9,6,,19713,0,0
aircrafts_instance_9,7,,23809,0,0
aircrafts_instance_9,8,,25103,0,0
aircrafts_instance_9,9,,23274,0,0
aircrafts_instance_9,10,,24853,0,0
