Aicraft (A/C) Serial Number,Total Turn Around Time,Average Turn Around Time,Average Work Count,Total Minutes,Total Personnel
110,112:48,11:17,2,60,4
110,112:48,11:17,2,360,7
111,142:36,14:16,2,360,5
111,142:36,14:16,2,60,4
111,142:36,14:16,2,360,8
111,142:36,14:16,2,350,8
111,142:36,14:16,2,140,5
111,142:36,14:16,2,160,6
111,142:36,14:16,2,140,6
111,142:36,14:16,2,100,4
111,142:36,14:16,2,600,16
111,142:36,14:16,2,60,2
112,122:48,12:17,2,170,7
112,122:48,12:17,2,300,5
112,122:48,12:17,2,120,5
112,122:48,12:17,2,160,6
112,122:48,12:17,2,150,7
112,122:48,12:17,2,690,10
112,122:48,12:17,2,160,6
112,122:48,12:17,2,540,6
112,122:48,12:17,2,160,6
112,122:48,12:17,2,90,5
113,98:36,09:52,3,100,4
113,98:36,09:52,3,130,6
113,98:36,09:52,3,420,5
113,98:36,09:52,3,420,6
113,98:36,09:52,3,880,21
113,98:36,09:52,3,820,14
113,98:36,09:52,3,400,9
113,98:36,09:52,3,60,4
113,98:36,09:52,3,120,5
113,98:36,09:52,3,380,10
114,114:12,11:25,2,240,6
114,114:12,11:25,2,110,5
114,114:12,11:25,2,360,5
114,114:12,11:25,2,70,4
114,114:12,11:25,2,140,6
114,114:12,11:25,2,120,5
114,114:12,11:25,2,80,4
114,114:12,11:25,2,150,7
114,114:12,11:25,2,270,5
114,114:12,11:25,2,570,11
115,125:24,12:32,2,130,6
115,125:24,12:32,2,120,8
115,125:24,12:32,2,280,7
115,125:24,12:32,2,360,5
115,125:24,12:32,2,460,7
115,125:24,12:32,2,170,7
115,125:24,12:32,2,270,5
115,125:24,12:32,2,440,6
115,125:24,12:32,2,340,7
115,125:24,12:32,2,100,6
116,118:24,11:50,2,270,7
116,118:24,11:50,2,620,9
116,118:24,11:50,2,200,8
116,118:24,11:50,2,470,8
116,118:24,11:50,2,140,5
116,118:24,11:50,2,190,10
116,118:24,11:50,2,30,2
116,118:24,11:50,2,110,6
116,118:24,11:50,2,150,7
116,118:24,11:50,2,140,5
117,175:24,17:32,2,340,8
117,175:24,17:32,2,160,7
117,175:24,17:32,2,70,4
117,175:24,17:32,2,220,8
117,175:24,17:32,2,150,7
117,175:24,17:32,2,210,5
117,175:24,17:32,2,90,4
117,175:24,17:32,2,100,4
117,175:24,17:32,2,80,4
117,175:24,17:32,2,150,7
118,176:00,17:36,2,90,4
118,176:00,17:36,2,40,2
118,176:00,17:36,2,110,5
118,176:00,17:36,2,70,4
118,176:00,17:36,2,60,4
118,176:00,17:36,2,660,10
118,176:00,17:36,2,540,6
118,176:00,17:36,2,360,9
118,176:00,17:36,2,480,8
118,176:00,17:36,2,390,5
119,133:36,13:22,2,980,12
119,133:36,13:22,2,300,3
119,133:36,13:22,2,280,5
119,133:36,13:22,2,140,5
119,133:36,13:22,2,400,5
119,133:36,13:22,2,300,8
119,133:36,13:22,2,360,6
119,133:36,13:22,2,110,5
119,133:36,13:22,2,70,4
119,133:36,13:22,2,140,5
120,131:24,13:08,2,60,2
120,131:24,13:08,2,30,2
120,131:24,13:08,2,60,2
120,131:24,13:08,2,90,4
120,131:24,13:08,2,360,9
120,131:24,13:08,2,40,2
120,131:24,13:08,2,360,5
120,131:24,13:08,2,390,10
120,131:24,13:08,2,260,10
120,131:24,13:08,2,120,5
